name,pca_feat
Orange,"[1.8546192247950133,-20.685602535193592,-1.744640273892312,-9.447723237233673,-4.899063685237782,2.6535687206630727,2.0503818082133565,0.42557427209063947,0.18639753975018963,0.7773752593016698,3.0066191371438733,-2.4604602729520115,0.8879423579082615,-0.9553865286800086,2.996640642313916,-0.6796869953316402,0.4122571388929067,-1.0585484030608456,-3.3363203337006477,0.16562050299245026,-0.349814902092548,-3.0171139991459177,-2.0064515617832703,0.40156942224612036,1.78988492548083,1.77947175828576,1.2447640429849998,0.11120612378542895,0.40347227756435994,-2.643034122871471,2.2160366680871038,2.31944075571157,-0.42257970756652014,-2.019504959513174,-1.6271588410450741,-1.6015795731142604,0.6500913487088328,-0.3084163338430432,-0.036784422633920996,2.097063947512344,-0.29056517373568863,-2.1030264866719373,-2.0442117373900426,-1.4211509771109165,-0.962586616556721,-0.7969054966932976,1.1846907003962988,1.340772767844085,1.9393485515120743,2.333673861162509,0.9356968929419228,-1.7836323561213552,0.83060044804529,-0.15904019143050777]"
Pepper Red,"[-10.696782413486126,-18.57705193796915,-3.576908307220876,-8.984056872060787,-5.213363107603832,4.138647768145169,-0.27548217659774155,3.727485741148649,-1.3418263414241354,2.6438805052203755,3.542267572878702,1.0791713270421814,1.7504721666753666,-1.9085752030606433,4.874062249734335,-1.956104598257506,1.687280138562665,-2.3828130032582315,-3.2600011319401814,0.9545298376588879,-4.045165185730355,-3.801574725046228,1.8489979547213213,1.4199921964262778,0.9355188693353544,0.5624091225597005,-0.19603121361480877,-0.9854416401431513,-0.7088135866146538,-3.202836731487581,2.2940160600621615,2.070490629025621,2.3282880872730076,-1.7046879347963146,-3.7504949593651804,0.0557769951593613,-0.18009790131686684,2.2513084891209654,1.4805552440849126,-1.277452859432708,-0.9638519236723742,-0.059750319137978666,-1.3695987567810646,-0.25387758028769714,-0.17354121740238376,-2.573876320340232,-0.37726251359134166,2.2337213014609936,-0.3971141633230425,0.27779831905466634,1.668591423799713,-1.6283405723724158,0.4644707902770389,1.1603753068517484]"
Plum,"[-0.8057638315170874,-25.644615067918735,-2.097566044766097,-16.22665554129791,-4.247362872821515,5.157712734830295,2.02625822897707,3.189244707575871,0.12560917976235964,0.24979280110871988,0.6893525927404485,-4.284687913264724,1.2456379072952763,-0.15164623605699504,4.085648299393659,-0.7998423148182877,-0.08848151097982616,-1.996796049571541,-3.766812156848121,0.9747205226505722,-1.9245903894294623,-4.884400128061078,-1.214380227090358,-1.7021498546145633,3.2010124316434405,1.0729558268903234,3.8991845605300464,1.0042964815389606,1.0354523651265426,-1.3565074852473302,1.9837120648955502,1.8040062115190652,0.6062821462444662,-2.3575816468626902,-3.4142459060052146,-1.1004064696794795,-0.6675240973296738,0.06307491902115141,-0.8999351566914275,0.7847945148456016,0.35255811948639065,-1.7258102255159313,-1.9699427017672877,-0.3576089674580431,-2.1542740104265166,0.12978684828924617,0.6810990003830724,0.8341825412400328,1.4454001999442965,1.936596987191255,0.7429252602113101,-1.5070168080221102,1.9682377769218655,-0.04140689997165316]"
Strawberry,"[-8.847405926406461,-27.064475173178042,-1.5375733911744294,-9.752881485859891,-7.64877735017161,0.3949747224210115,1.7724773473758697,9.038601962657198,-2.541059788546022,-2.64166525432994,4.56808267797227,0.3866320650060798,0.27733993719607736,1.0360592323534068,0.2906009270705691,-1.1162556272477404,-0.5249154017047509,0.8621966974393073,-0.3308196039925618,-0.6096659525098942,-2.0137228298725693,0.1395700848735941,-1.7689937869092434,-1.9694332403297747,2.2438767919709828,0.16589112341864787,-1.164472251510067,1.7489557529802728,1.8807496168690754,-1.6108008286908198,0.3839141433339668,0.8372157259178946,1.3302146678862714,-2.5237432939002757,-2.2035206225534476,-1.2337319558031876,-0.13948333443080532,-0.06183104922997156,0.9315118894985723,0.9366609944712803,-1.1981118771874453,-1.1267579682013549,-3.1866191386336986,-1.8469911572038562,-2.118592005348861,-3.505926767230129,1.7085394998154466,-0.7513056168081735,-0.2132009720976582,3.2455120648063636,1.021127282689991,-1.472242877861951,0.9422381302080823,0.1653034940759541]"
Apple Red 3,"[-0.2285946325360242,-20.48866586070621,-0.9136413377146604,-8.967719276446408,-4.92883149522442,-0.043513274863368874,2.8568641630303406,-0.6388910339074089,-2.089724889593587,1.386122197912049,2.863614760328689,-3.526150123374919,-0.6508739904619456,-1.3550639194434801,2.5174400465241646,-0.9406817046314266,-0.43558133373767394,-2.0176306212645336,-4.435644648972911,0.7802707088305127,-1.735730891749028,-2.283258399328503,-0.9248820708078609,1.4803260811511612,0.043019260610755186,0.7212337797763473,1.6670954152370387,1.2137037617916788,0.9701651521119671,-1.961058465002931,1.374424753814807,2.333183371999838,0.16660039711768546,-0.7972864665077877,-2.1131392037012957,-0.443767300423209,-0.594806376299115,0.45619778322035337,0.015600450511653426,0.9794872195807045,-1.1800934387501503,-2.248183524673381,-1.7327395092910651,-1.8548217957760764,-1.1813282210061307,-0.9934829708984032,2.204535809105386,1.121593223626248,1.152004169383739,1.747624775091474,0.6196334854256871,-1.926526418309811,0.2914828341982357,0.310495448369751]"
Orange,"[1.8872315847797005,-20.705678932827276,-1.6079196377996736,-9.556155285334816,-4.88053836870868,2.542267807262959,2.0188077804602598,0.5108967329331324,0.23651312868564095,0.8196743996425443,2.9667543475789784,-2.521113863735863,0.9361215333666564,-0.8793533515209019,3.1218646045505176,-0.7079975951326181,0.43536882761418627,-0.9635139136914733,-3.295973891874153,0.13050406195060274,-0.37772451255765144,-2.91323075543591,-2.048621286540676,0.3685977154052357,1.96780450591881,1.7291891213826278,1.3399616527316673,0.09888887905667348,0.21370572652952627,-2.575752375972355,2.1881162897347894,2.215946272248191,-0.43386809644624175,-2.0989062127822455,-1.5732706612328982,-1.563932524545116,0.6214854487470315,-0.12551015295383333,-0.04225073933559843,2.1904526379552025,-0.3340988239259228,-2.205007910618003,-2.0622563635742632,-1.4917758135244914,-0.8974645135071688,-0.6577641311937045,1.1555379117766957,1.3149179895224226,1.8747532097418471,2.3547769592714576,0.7207523811881649,-1.7109085015586087,0.7851490720436028,-0.1722741425282788]"
Pepper Red,"[-11.324273190071384,-16.08326876186461,-3.362443891489444,-7.085347583889255,-4.348855382336839,4.400521966200104,-1.305415047112465,3.847196018193372,-3.7022421227964317,2.089491501359277,1.5184249508250833,-0.19943925774505866,1.3753120866648207,-0.8106155579366895,3.616176601013776,-1.9740228173693066,1.7265391285890483,-2.7920325793732155,-2.6249557761595828,-0.23951596603368294,-3.259299134057234,-2.480125101462826,0.7958662518431221,1.68885511626586,2.4931326528905826,0.5345228599151441,0.3885839763651409,-1.8220996047257692,0.9728957968432351,-3.2050130067176905,2.4188958829510376,2.374740279815742,1.0631941628391393,-1.9439500392258293,-3.9112971002038086,0.19222420421824793,-0.7094161653926321,0.5842294398250591,0.19039177617102432,0.5791856665728509,-0.025800213441170547,-3.4119129662711303,-1.4831931415786286,-1.4564044698026886,-1.6471604543764782,-1.280118615480024,0.9267673356114003,0.6549365802309881,0.9123478363387356,1.0273488334323975,1.7052325160620283,-1.7753776887424855,-0.3713384186001078,0.27337914297635296]"
Apple Red 1,"[-1.2761453254878077,-25.089758989227228,-3.4671370539799815,-9.521669943859267,-4.036645785204432,5.580751328527704,1.883001813242054,3.311020552788083,-3.1729072217082637,-0.8181554183570501,3.205467179710757,-4.276622183316968,2.8307099867320367,-3.2231371616626086,3.952468457699494,-0.33209259526232615,0.27681330847638536,-3.94523017440041,-2.260531190068627,3.225005752460618,0.7136562475158426,-5.517041440420933,0.04938349293748758,-0.5285513192770451,3.4495056242245066,2.9213011970515312,2.563109224426894,1.3672497788321314,0.7631923832221102,-0.3397218657075892,0.4449555870427073,1.9455251452460147,-0.9114899166061176,-2.317711536171165,-2.906979490472962,-0.9866988710228224,0.1976451499483281,2.2792118333565594,0.9017773191290328,3.0215477714028127,0.5822382910728527,-2.3437351912035402,-1.9463211562554859,-0.388327444368213,-1.9981541251805395,-1.2408301220087317,0.24831945527328836,0.9964726472650506,1.3570377201778354,1.9033156679113952,1.2793097519211636,-2.6964559079433714,0.27186504311785475,0.4638732977273894]"
Apple Red Yellow 1,"[-1.6088327229073929,-20.529603338038484,-2.1966854611996918,-6.377407298975658,1.4036705696417797,1.6927762160777782,-4.043539578711141,2.771390449551071,2.4911657011990207,-4.691168657739365,2.3617452120856726,-2.4563407539619737,2.0945168120560202,0.5169408472426521,-0.4037503419015226,-0.5921584501956321,1.4083095634745595,-3.1831314251709726,-3.218570614637077,0.7289500233428398,-1.2873855513049532,-4.86482087246664,-1.1648769637923813,-0.3789934213682608,2.2371925734797693,0.725688908248993,2.0910099945872433,0.6094672254189526,0.16944349972244951,-0.6172014823690094,0.8408124005273775,3.8232098496459455,-0.5647368810443346,-3.1209154497240967,-1.1675397894596622,-0.13167911148325143,0.9033375126105502,0.07360999085730145,0.526840657354645,2.1730475525543755,0.06213632877795235,-0.9648424759192473,-1.9442259955912464,-0.42552988061160707,-1.8437044244676366,-1.6606249151170518,1.9075718913071102,1.8075587966786422,0.5352131174398526,0.5682151129943881,0.8308603372636114,-1.0843637679235392,0.6271606237268957,0.17455836580457582]"
Lemon Meyer,"[-2.4032012652847605,-20.104798927803287,-0.8299726676081117,-13.842294465163306,-7.20290571940041,2.6629579422474223,0.9606478793653406,0.5840237021636793,-0.062404116839795014,0.6601237013882346,5.232631031242048,0.5695060579235234,2.8060202986118394,-1.4885603300596078,4.517852817714846,-2.356784384529045,0.4403190777049985,-0.8409170400852881,-2.7266493923464097,2.4986496421988185,0.12817728267925932,-3.3862100380168183,0.6121133770780239,-0.8177853550619082,1.4147493714244201,1.4359197852088939,1.3668384931543838,0.7375364429169183,0.599391692645923,-0.8655083468984935,0.8776546185806591,2.6729971850825693,-0.21959787909293388,-2.406894497277735,-2.1119319679701687,-1.3540934469603796,0.7165636850103032,-0.16715538551309936,0.40457140181733126,2.7571544920580497,0.527966940468494,-1.851557673520416,-2.282949828740445,-1.7044069360741467,-1.36636465208817,-1.6052340859903176,1.0679575695362054,0.370808068843759,1.8390956772658993,1.9939623708186143,0.39755986944223415,-1.7545471314599923,1.0654894226732987,0.13401721990488244]"
Walnut,"[-13.358089054105829,-16.76839292209182,-4.640058635086898,-11.966321650171997,-7.064760227691421,0.5568468679111992,2.279832325275436,0.7966317091713171,-1.8777431241163371,0.9633127623917076,2.6353160142515284,0.6232479743372246,2.197951804068625,0.385679614452392,3.154890583527036,-1.4255694887900074,-0.38521337388293897,-0.35384201690842776,-3.1916216856811777,1.9232851482929378,-1.652528296641149,-4.0082322298176605,0.18090095107288184,0.35345273343022643,2.7601734242105587,1.779426709581293,2.532552851892439,1.6789409937813056,0.20140587649950614,-0.5209947853133903,1.8764814922965498,2.1582711685537572,-0.0650384327456974,-3.2244530508761073,-2.556076839239671,-1.81163429743586,1.299700088926431,0.763141815131607,-0.02942259843926764,1.4607708911362094,-0.16221222113784942,-2.2294748669540745,-2.939881457250088,-1.4254087403269171,-1.7298618173103424,-0.6332253108555811,-0.3704736623761575,1.5999397776692343,1.562507364195033,1.9294962171707961,0.47326233525070976,-1.3131280120750803,0.32378268187485865,0.7710176065402689]"
Pear Forelle,"[-17.63913568993081,-20.385893417584416,-9.302504556300734,-12.980354089437018,-6.328428547984694,1.504841319278662,1.6123137684425028,2.812762796430155,-1.2113136332574894,4.586670994634455,0.6257629938539153,-2.2606631550878027,1.2800505519401308,-0.4270100912758609,2.9306948403462263,-1.7026724750758144,1.6947795958111433,-2.8735206761523555,-3.832695994291189,1.4769136356199544,-0.547715869500861,-3.719360507465545,-2.2857839308358203,-0.45952331412986674,0.578511233264307,0.23723009014677376,1.9584240485542388,1.016995977981308,-0.05170264419622574,-1.137159710514436,2.431546719413631,2.1760060895934177,-1.4754318738801706,-2.1214136562923898,-2.1062755324257476,-1.5086440473178566,1.371714471188743,0.18102119411243917,0.9704416229095312,3.0234946864588466,0.35147116305415094,-1.149507669113503,-1.8533057291438229,-0.7861897348261181,-1.4736923949376726,-0.8911491649727804,1.2150165884299746,0.6258968288468465,1.3258243197598005,1.1679709546610624,0.3029401496054029,-1.9012308939684135,0.418935532049013,0.4299230926841182]"
Apple Red 3,"[0.27510461959590415,-21.061932255244777,-3.5688095787719987,-14.33857124789075,-4.500473206453899,2.5151008694472607,3.1402631573742537,2.0575378360428385,-1.2136792725412333,-0.4938234938319955,3.8071219299087256,-0.6966870030716998,2.8719842767513493,0.08257317153807314,2.713048703398293,-1.9718246954724594,-0.7944406851861937,-0.18774089060004556,-1.8996153765105015,1.4390126938140924,0.2009095261629199,-6.1453494868099945,-0.5163207487853673,-0.5195077017787763,1.808681819355794,0.7833618704433905,0.9237865238780659,1.9839638550612135,-0.6280007173451329,-0.36273676617139844,1.4258649013473423,1.1046633771134802,-1.0203569612687464,-3.269486110343831,-1.6382835073768582,-2.603105010283533,-0.10811918571227878,1.197598893777155,1.6996916848114043,1.481736021766331,0.10936602023318626,-1.131831559497742,-1.925070925750512,-0.32639184627683643,-1.6653587899591302,-1.430673349502955,0.20782181826015483,1.0733309018200368,1.4095173851608667,0.9668010322607236,0.8651613717595538,-1.961350758285658,0.959559558398112,0.5548868897495554]"
Onion White,"[-13.56160604371093,-15.514019285307619,-6.287201650983473,-14.526038424819887,-6.626183590141754,-0.4128609429796873,0.7276686285961772,0.8138484434523642,-0.8157194564421694,-0.5236074713132506,1.3695174760971025,0.35588701147037877,0.2798773803622154,0.7675124973650046,4.058447437353291,-0.9040016281783483,-0.8576817528901064,-1.4331796078142274,-2.4105523895576946,2.385759734375829,-0.6793656718913601,-2.550795119804699,-0.8833796311487443,0.7355408919692262,0.32126607748945124,2.0724820204014853,2.8337533148111373,1.1571355887863934,-0.13800638633078677,-0.17506685708226288,2.2043182933784027,2.4376992783268685,-0.1406471963802207,-2.4956443031600526,-3.0349096589804305,-1.776205385990545,0.6200794353823166,-0.08973916367947017,0.6573808064681033,1.8168150470243565,-0.3674962993651531,-1.4867978078651916,-2.4112723720365086,-0.6530524731182276,-1.3377771539980472,-1.1010795258367427,0.8002768548016818,1.7349135031896392,2.147153909659859,1.903882401697729,0.8268253499818304,-2.0883171603462407,1.514702977974564,0.7238837730214347]"
Apple Red Yellow 1,"[-0.38889586202463494,-20.27059634941615,0.13034165873105652,-9.56487165772112,-6.362413947735204,-0.26356496408908825,0.9622433167794514,0.6425450219336537,0.29261609832421104,0.27797503731119877,3.8430422806019715,-3.2572818939962653,2.6158245178378765,0.9424153399136591,1.1142392842006463,-2.0574799960609638,0.22836449890974084,-1.8350956807792007,-2.164425025528763,-0.9506347253977512,-0.4277428615707214,-2.046624357190267,-0.3426461250195236,-0.18522087701579765,2.7570377601537586,1.0690428426886056,1.778094486706923,1.890538256722291,1.478595069390884,-0.835993519321441,1.643006800508549,2.229952503553976,-0.6736323997426735,-2.1923002584908264,-2.296860965135585,-1.1140320616952155,2.2687035576979913,0.3501973910862417,0.11195497225991945,2.5721513206185693,-0.06933500270443566,-1.863568348662391,-1.4324727163760178,-0.3316411685271203,-0.11087178588559098,-0.6977135004472313,0.1521797156078742,-0.019971409302155404,0.8605345625017341,1.176345849480092,1.2393908258653632,-0.8895809497555208,0.8276274840479503,0.3594769480712188]"
Apple Red 3,"[-1.9888103801788333,-20.279041104660315,-5.490744990415629,-12.915151132214255,-1.2269656024917746,3.680106986234191,2.161346790172346,1.6968526183116528,-3.3338182612014156,1.5746505356324612,3.387808092750595,0.3622904413795081,-2.7563834567350898,-2.060149699725782,6.811049707704752,2.3935730470557113,-1.8275063328341683,-3.3673873855531347,-2.1778572816087243,1.443278073337458,-1.0745170724954067,-2.8748645645975777,-1.4617767082284787,0.926017551319548,2.1827633588558495,2.2350740611990805,1.6672368633817114,-0.8243381100612214,1.3923337291788977,0.3910812390929527,1.7619155717270882,1.8614687537668844,0.2687242437142923,-3.4574217430989367,-3.473685104267687,-2.5158654330600476,0.30549667903138333,0.6939246836832453,0.1591714501185918,2.0348992410157716,-0.45608360719145674,-2.43304873476192,-2.3689540464981804,-0.6003118956097908,-1.1715666169809533,-1.4455454952343205,0.29532396388513155,1.1944908685719553,1.5101392013012607,1.7673951145541467,-0.1700436588321058,-1.2806882893448472,0.4441931318780354,-0.11793754431346481]"
Physalis with Husk,"[-10.023081959379274,-25.571129327064302,-11.199434817906091,-7.965536932748729,-4.809305661652809,1.801869959668527,4.576167241790628,3.2547593857525356,-1.7869278203740302,0.3244781444049567,0.47568049040683746,-0.9952871612884635,1.3578157059482496,2.8831206277758223,4.516699237290532,-2.4158874011765357,2.2769712843474714,-2.306148340929482,-4.286133220420996,1.640227585902704,1.3024568217538703,-2.934974949287043,0.3314435126399522,0.8663787080619805,-0.1366850938342193,-0.7918596985188686,1.209535052509242,-0.4221710547083119,-0.46660488152762375,-1.171598324285623,0.49995357015181485,1.7835944867618188,-1.2620193259696562,-2.125811968391223,-2.978526528145089,-0.13684970445719585,1.6290365016173387,1.7575469277422042,0.7531745854319633,2.7446392856789545,1.150084813722517,-0.7581894979714683,-1.3405433226131318,-2.1330754297492085,-0.6635061800752795,-0.3970288961063458,0.49860178547118617,0.33075766049395644,0.6765995545645833,1.9614943811878545,0.2520138771573157,-1.6850648169429676,0.7796515453699241,0.34107787389494837]"
Tangelo,"[-3.61150462880639,-26.80019700234237,-1.0333777324252567,-11.602811159545658,-7.633700572059167,4.336037707112842,-0.18291471429689538,-0.07080186185454015,1.4391553816719056,-0.5769811627963496,2.509757720602276,-0.790303567802112,1.039962603003602,2.387650483750217,5.549411889876201,0.20153376567142936,2.7345931376401773,-4.6851302216390245,-3.665433816391633,2.310005088081551,0.5554473664033022,-3.916241578112328,-2.00163795301599,-1.1544623410929913,0.958796475840863,1.7293657828115858,0.748057880043058,0.3903436565678102,2.3157026751360035,-1.966742910419827,1.5755394282779098,0.9205014764788279,-0.9338454433814717,-2.505419638461426,-3.1471455406069597,-0.5337415329372839,0.3080607046451049,0.33351493205710353,-0.5305370621925058,1.554013768045257,-0.3308668606187382,-0.9478029314273837,-2.1381897560174097,-0.1352886798899816,-0.8560144826147651,-1.6662356404716088,0.8214274215196041,0.16560656326463583,2.0018605998426597,1.1947542477074087,0.7930031639452976,-2.6859719845271504,0.9177185764723826,-0.7293281414900223]"
Tomato 1,"[-16.752817252054896,-22.39480197370011,0.22934516559863266,-10.17113735870251,-6.8158246969593055,3.4273859142802627,-0.4741789280930594,3.828213261555538,-0.44848332509448247,0.6532247010544066,4.192074020306795,-2.600928641474429,0.6353229062701946,0.2731469837143739,4.935671336995486,-3.7296316492612616,-1.3166510193003698,-2.2336567079649834,-1.877765052454428,0.614084804246644,0.6770247474774089,-3.503311001689366,-1.432813949395814,-0.11300881378161134,-0.2028135510425796,1.326701616365917,2.3119929504021597,0.2880570691916612,0.33035146657079123,-2.153284375599825,-0.010024266652416609,1.8530120917013484,0.21885190418999903,-2.5662424928726852,-2.366421312158305,-0.41939988549040647,1.8560299619296614,-0.3559761784291246,0.3236916149287016,1.4614288932374633,-0.020391281509681274,-1.7804876371804785,-1.3268629280237707,-2.67130515658288,-0.9177591007178548,-0.7189926593042202,2.0446549181714584,1.3843937186434452,1.3312649173276634,2.035303007369096,0.3847642398499293,0.5470071628826049,0.7006239600976142,-0.3160196038741169]"
Pear Williams,"[1.5484293545918737,-19.254513037516745,-5.530789553646648,-10.847212077211646,-0.3783525614961128,-0.7544877142456968,0.8366449801458943,1.338947609743026,-0.4326745067402554,0.8365407171964322,2.59757542580395,-2.945198151444991,1.5012067090623222,0.4801190231232714,2.123406909547253,-3.3758458385275922,1.3047258493048723,-1.3182839652398037,-2.61234849366283,0.25590433877471364,0.907542446293677,-2.998214441846009,-1.2656834016748852,-0.7008466910509714,2.159502623942542,-0.4748414888509462,1.4739969774259525,0.25918147027781274,-0.7673618847307464,-2.0330979256804227,1.3377877613074451,2.5325525249204657,1.8152721308725694,-2.6573791434475993,-1.7325110805972022,-0.7698858810569446,0.5652191029729597,0.5013079800811144,-0.9046249083537451,0.23244161525217263,0.2650841754706864,-0.686299080739809,-3.037607952767466,-0.599782059519148,-0.7810638401771679,-0.8181477767092517,0.665982689861397,0.5459434276103285,1.8670203355992172,1.003639175694489,0.6909494282042151,-1.3412143494587137,1.2728075399138479,0.40241890478279463]"
Guava,"[-4.608481788704749,-25.39992003404975,-0.14979353327842848,-15.801111429983061,-8.270158616743169,4.524706615126571,3.1988546874553334,4.973592665121037,2.678432836455266,0.046350875412405124,2.6254318721681855,-1.7492277282339808,0.8862945447172603,-0.10383471536540725,1.2201883662859943,-2.285722423310022,0.3227280836323131,-1.5726871745882616,-3.633875408523076,2.08056424153436,0.46980659145039133,-5.189586470217522,-1.2271998453261779,-0.1677247649968956,1.2078597264766766,0.9036342689220119,0.9880322028192878,-1.0184709711922086,0.25340178666204133,-0.6262050822518137,1.0775547393185811,2.309457231604363,0.09070935261526888,-2.041040659936664,-2.12582225749512,-0.7124873897027669,-0.6899053896763054,0.11341776547476781,-0.9059764574621278,2.3642765890580626,-0.056774208073708296,-1.8076188729685807,-1.68022234771657,-1.3504283210688937,-2.011907232988387,-1.4635326240377171,0.8254474927324355,0.4558064866641662,1.5771646997853055,1.5915187559714647,0.5216013185915087,-1.2360104315974831,0.7269833992198508,-0.6642447460947993]"
Peach,"[-1.1317676379791295,-20.74274464772153,-4.476932374480295,-6.844609756908605,-5.726436016579124,1.2034184488894142,1.6277670830848678,-1.411833568132508,-1.4975873761205312,1.3586211972126272,2.8891069912178624,-2.099514277033027,0.13525673043695297,-1.8289073682650514,2.534161890967403,-1.0211541542926532,-0.4332996292627864,-4.563417196777917,-3.8977413727446795,1.358389278959208,-1.1559248242690763,-2.232894539484965,0.09636883748941252,0.9394383555075129,1.6949144873405504,0.9401848389513997,2.438997833370911,0.5884855509206554,0.3323533569458012,-1.6969427549170386,0.8177076005989267,2.42713545082034,-1.047405814101039,-0.7995081420977426,-1.968782067107173,-0.7273948550696338,-0.6895605834543114,0.7740045261819133,-0.2811731377287317,2.0744990010913584,-1.2413759315951056,-0.966135844211172,-1.5060183543363228,-1.7224054443352559,-1.3283831237113461,-0.6941639298585691,1.945542320298833,1.4108399311375044,1.4305922123718495,1.1051723066758448,0.9862765659587105,-1.0057680794428467,0.5731924856418754,-0.4440332097628907]"
Tangelo,"[-1.1790154512658566,-22.67469148667321,-1.8695935644388126,-8.968418028265496,-5.145339086895406,2.8269318704623427,1.6482941180831137,0.7896167749505887,0.6694226323569471,0.6669891854307932,4.926388921732511,1.1890986031321074,3.7126801571467096,2.06918974845107,4.412427901029701,1.6326434706539128,2.0154686938904405,-2.137698874445387,-3.034034207689084,2.43922342924049,0.898318260977373,-3.088544636231804,-1.4263971772085244,-0.8789440303392427,1.4253166631392502,3.6645219328744854,1.2132204219834601,0.6513445743399328,0.2886206942449494,-2.4969776641761086,1.313580874809977,1.5184184725598275,-0.047764121684074595,-1.8533226941902943,-1.892188214791052,-1.0805314704441789,1.0124632668678306,0.5919963785320399,1.2942159041409271,1.8230027978514098,-1.221819633612086,-2.7180577153992713,-2.327667768617312,-0.10661392054023666,-1.8336946419380147,-0.4918029323995696,0.9596998181632884,0.809175451300137,2.1149400558266014,1.2845539374933161,1.1696488506630325,-0.6159438541034049,1.6696351659525932,-0.2929801103639459]"
Pepper Yellow,"[-15.330098103053748,-22.065317697292077,-3.0966775990137885,-11.65921748575856,-6.817745085783112,1.1181893882012932,0.10825914072861194,0.09670803055908574,-0.39386705528814975,1.1825703646838654,6.831541612793527,-3.177669586969164,1.9961665754045659,2.6851656476287844,4.2497019664366755,-1.9072057209700284,0.8528125198804607,-3.142850147063736,-5.03258822955986,-0.13156448529081316,1.5048497941310575,-4.55340069646077,-0.39943090120958774,1.770111166995815,0.8625947634113263,1.6573522253496709,1.3316413736119006,-0.343113189782689,0.28850670997128786,-0.19251949488528736,0.7933429381661251,2.423827027191367,-1.8732698496675635,-1.8079891273171234,-2.238830285990445,-0.9414875611932166,0.32907302296175955,-0.2701794487814157,-0.6502399179039775,-0.28190970030547635,-0.30261268552600545,-0.8171451081257852,-3.134383888175003,-1.7142208682433506,-2.4041442945887517,-1.1354778000523813,0.714110654153063,0.23732730791230558,1.559032424547863,0.8368339169176885,0.8916474945867365,-2.88575843224998,1.5926037438151155,-0.878883975427554]"
Apple Crimson Snow,"[-17.987241408546147,-19.877548645152753,-6.283785172954148,-13.997045071078524,-7.28914480588893,4.3511145313596105,0.30297274185950696,2.974980208181748,-1.0178290603763063,0.9102865247955122,4.153291453165249,-1.8707888391502117,-0.10659854539373328,1.1013774028302428,2.953569098386195,-0.803095965181358,1.9692887587948404,-1.9523191886231077,-2.9704910713609456,-0.7346802303581332,-1.7056094164308004,-3.5832734629016647,-0.8242294379028567,-0.17084665218401573,2.1313331866625154,1.3439963411172204,1.8951645076439882,0.39363203648952383,0.4277341717784415,-2.0759941974146314,3.212392149398172,2.773643274915752,-1.0320735102764194,-1.8999269007408386,-3.380122182278964,-1.1633800060290984,0.7506990279097242,0.2268166308212539,1.9808922226087482,0.8914235564159584,-0.21811447191700056,-1.529702828348197,-1.985927746898094,-0.5762298676062889,-0.333622927526018,-0.447225193257295,1.0692876275339998,0.8445621090299713,2.019919731479116,2.627395153260624,0.008239947652015576,-1.088566435336058,0.9036511676889109,0.6225771344260127]"
Granadilla,"[-0.3049686014927657,-21.620660239924057,-5.044312542838484,-10.895675807912193,-4.612512042030879,2.1318001227683863,4.433695838321307,1.8014586342469912,-2.8532080107633897,2.275979641793478,2.3980026166102784,0.1378973032831527,0.4920994750297048,0.018920176781451314,5.352458065189678,-1.0237826123242777,0.007263468714773602,-1.958471606182641,-4.048739098357115,1.9438353364828582,-0.9827951244359149,-4.06468055744542,-1.03469607566768,0.16362171472606868,1.2056221459599636,2.0465017938181553,0.5570728186987166,0.6698873652817975,-0.08340614340853993,-1.1770655567870767,2.1256676349574124,2.4742253326520047,1.320439991944548,-2.4118492859472624,-2.196207897745446,-3.011028590749778,0.9725084766684954,-0.06473836083973687,0.9819014645314883,1.7966226721465297,-0.8759627298176957,-2.5967092635026976,-2.1503092663804537,-1.3836542765307638,-1.3723555401396743,-2.1336142079177587,1.1678168590254645,1.4225294167913858,1.7903022347908593,2.34892519413385,1.1844934273183738,-2.387478526059228,1.1704216562127636,0.17987815101118174]"
Pitahaya Red,"[-10.473831352116253,-27.560051135687925,-8.694782124976337,-4.286408911818267,-8.020922063636243,3.18931433388583,1.3799850956037463,2.515074578383407,0.6069468275665728,-0.6946740137264561,2.570929873636755,-0.29996442948937313,0.5268355419120425,0.3795488851492718,-0.43423039470587854,-1.931832247849376,0.2402444939091672,-1.6954440944294242,-3.6539592127229805,1.7601281813791505,0.25016261872353707,-2.6267854091759495,-1.3486579189670622,0.9030801642390878,1.125230961233025,0.8994813426484806,2.3313473962169975,0.4082438848262392,-0.32301331630566316,-0.4433205822369764,2.8602010709487327,2.88844250459092,0.1958721541544765,-1.9667349636671851,-1.9618310429518995,-1.1872001657474,0.020676738766921852,0.7283946975524838,0.2332158638969663,0.3781234820129176,-0.8616677411126995,-2.1719615106381127,-1.6378469395538466,-0.21173729240435932,-1.2139259244422658,-2.1625864149460883,0.015985338211466752,1.4385917569559663,1.0071637920922036,2.39091178517011,0.2736603536285557,-2.1343379095889783,1.7709580914374532,0.2435047844493706]"
